#Fx_bnd, Fy_bnd; Fx_vol, Fy_vol 
-2.033795e-01, -1.810876e-01; -1.777896e-01, -2.569603e-01 
-2.742937e-01, -1.761393e-01; -1.771477e-01, -2.584268e-01 
-2.699833e-01, -2.091598e-01; -1.775024e-01, -2.582606e-01 
-2.781449e-01, -2.235720e-01; -1.774576e-01, -2.584383e-01 
-2.834486e-01, -2.058629e-01; -1.775252e-01, -2.585271e-01 
-2.789685e-01, -2.165812e-01; -1.775364e-01, -2.585187e-01 
-2.786336e-01, -2.318509e-01; -1.775325e-01, -2.585476e-01 
-2.692975e-01, -2.282840e-01; -1.775542e-01, -2.585631e-01 
3.131889e-02, -1.526557e-16; 6.645442e-02, -2.540828e-16 
3.131889e-02, -1.526557e-16; 6.645442e-02, -2.540828e-16 
-2.255689e-01, -2.446163e-01; -1.775648e-01, -2.585864e-01 #250
-2.064585e-01, -2.513752e-01; -1.775655e-01, -2.585871e-01 #500
-1.975890e-01, -2.536070e-01; -1.775662e-01, -2.585870e-01  #750
-1.931026e-01, -2.549842e-01; -1.775663e-01, -2.585872e-01 #1000
-2.064585e-01, -2.513752e-01; -1.775655e-01, -2.585871e-01 
-2.255689e-01, -2.446163e-01; -1.775648e-01, -2.585864e-01 
-2.484781e-01, -2.388399e-01; -1.775594e-01, -2.585848e-01 
-2.690948e-01, -2.326636e-01; -1.775532e-01, -2.585605e-01 
-2.781449e-01, -2.235720e-01; -1.774576e-01, -2.584383e-01 
-2.033795e-01, -1.810876e-01; -1.777896e-01, -2.569603e-01 
-2.502568e-01, -2.109810e-01; -1.774575e-01, -2.583513e-01 
-3.444963e-02, -3.945188e-02; -9.562436e-02, -9.997588e-02 
-3.444963e-02, -3.945188e-02; -9.562436e-02, -9.997588e-02 
-3.444963e-02, -3.945188e-02; -9.562436e-02, -9.997588e-02 
-3.444963e-02, -3.945188e-02; -9.562436e-02, -9.997588e-02 
-4.048869e-02, -4.431104e-02; -1.105591e-01, -1.108045e-01 
-5.249394e-02, -5.458471e-02; -1.152144e-01, -1.151223e-01 
-6.435441e-02, -6.549170e-02; -1.147814e-01, -1.147174e-01 
-7.438842e-02, -7.505456e-02; -1.141762e-01, -1.141449e-01 
-8.249789e-02, -8.291679e-02; -1.138526e-01, -1.138387e-01 
-9.406987e-02, -9.426486e-02; -1.136418e-01, -1.136393e-01 
-2.033795e-01, -1.810876e-01; -1.777896e-01, -2.569603e-01 
-2.033795e-01, -1.810876e-01; -1.777896e-01, -2.569603e-01 
